in update mr0: q=0.17, mr0=0.87, mult0=0.10, mr1=0.1004, mult1=0.0174, spec_accs_cnt=46000, reg_accs_cnt=11129
in update mr0: q=0.17, mr0=0.86, mult0=0.11, mr1=0.1004, mult1=0.0172, spec_accs_cnt=47000, reg_accs_cnt=11289
in update mr0: q=0.17, mr0=0.86, mult0=0.11, mr1=0.1004, mult1=0.0166, spec_accs_cnt=48000, reg_accs_cnt=11496
in update mr0: q=0.16, mr0=0.87, mult0=0.11, mr1=0.1004, mult1=0.0161, spec_accs_cnt=49000, reg_accs_cnt=11653
in update mr0: q=0.15, mr0=0.87, mult0=0.11, mr1=0.1004, mult1=0.0149, spec_accs_cnt=50000, reg_accs_cnt=11798
in update mr0: q=0.14, mr0=0.88, mult0=0.10, mr1=0.1004, mult1=0.0142, spec_accs_cnt=51000, reg_accs_cnt=11917
in update mr1: q=0.14, mr0=0.88, mult0=0.10, mr1=0.0888, mult1=0.0121, spec_accs_cnt=51849, reg_accs_cnt=12000
in update mr0: q=0.14, mr0=0.88, mult0=0.11, mr1=0.0888, mult1=0.0121, spec_accs_cnt=52000, reg_accs_cnt=12021
in update mr0: q=0.12, mr0=0.89, mult0=0.10, mr1=0.0888, mult1=0.0111, spec_accs_cnt=53000, reg_accs_cnt=12151
in update mr0: q=0.12, mr0=0.90, mult0=0.09, mr1=0.0888, mult1=0.0105, spec_accs_cnt=54000, reg_accs_cnt=12212
in update mr0: q=0.11, mr0=0.91, mult0=0.08, mr1=0.0888, mult1=0.0094, spec_accs_cnt=55000, reg_accs_cnt=12339
in update mr0: q=0.10, mr0=0.90, mult0=0.09, mr1=0.0888, mult1=0.0086, spec_accs_cnt=56000, reg_accs_cnt=12424
in update mr0: q=0.11, mr0=0.91, mult0=0.08, mr1=0.0888, mult1=0.0102, spec_accs_cnt=57000, reg_accs_cnt=12645
in update mr0: q=0.12, mr0=0.89, mult0=0.09, mr1=0.0888, mult1=0.0108, spec_accs_cnt=58000, reg_accs_cnt=12762
in update mr0: q=0.12, mr0=0.88, mult0=0.10, mr1=0.0888, mult1=0.0104, spec_accs_cnt=59000, reg_accs_cnt=12914
in update mr1: q=0.13, mr0=0.88, mult0=0.10, mr1=0.0934, mult1=0.0117, spec_accs_cnt=59528, reg_accs_cnt=13000
in update mr0: q=0.13, mr0=0.87, mult0=0.12, mr1=0.0934, mult1=0.0117, spec_accs_cnt=60000, reg_accs_cnt=13053
in update mr0: q=0.12, mr0=0.88, mult0=0.11, mr1=0.0934, mult1=0.0116, spec_accs_cnt=61000, reg_accs_cnt=13307
in update mr0: q=0.15, mr0=0.87, mult0=0.11, mr1=0.0934, mult1=0.0138, spec_accs_cnt=62000, reg_accs_cnt=13480
